1, 2 
2, 4 
1, 2 
1, 2 
1, 2 
2, 5 
2, 8 
3, 14 
4, 15 
2, 14 
3, 15 
2, 12 
2, 20 
4, 28 
1, 8 
3, 19 
3, 24 
6, 30 
2, 12 
13, 47 
1, 12 
1, 6 
6, 19 
3, 9 
8, 31 
1, 2 
1, 6 
14, 48 
5, 21 
6, 24 
7, 22 
6, 28 
10, 24 
7, 30 
9, 27 
6, 20 
5, 17 
3, 21 
1, 2 
2, 4 
1, 2 
5, 17 
4, 15 
2, 5 
5, 14 
7, 19 
15, 49 
1, 4 
1, 2 
1, 2 
3, 8 
15, 30 
7, 20 
1, 4 
4, 6 
4, 10 
2, 6 
3, 8 
3, 6 
3, 4 
2, 3 
2, 4 
2, 4 
3, 10 
1, 3 
1, 2 
1, 2 
1, 2 
1, 2 
1, 1 
1, 1 
2, 6 
1, 5 
16, 55 
1, 2 
1, 11 
3, 6 
1, 3 
5, 27 
1, 3 
1, 3 
1, 2 
1, 2 
3, 5 
2, 3 
1, 2 
1, 2 
1, 2 
5, 20 
1, 3 
5, 17 
6, 32 
6, 16 
1, 3 
1, 2 
5, 17 
5, 15 
5, 16 
5, 16 
5, 12 
5, 14 
1, 3 
3, 14 
11, 24 
2, 7 
2, 3 
5, 9 
2, 3 
2, 3 
2, 3 
2, 9 
1, 2 
5, 15 
3, 9 
5, 11 
1, 3 
1, 2 
1, 2 
1, 2 
3, 15 
3, 38 
1, 26 
1, 26 
1, 7 
1, 10 
1, 7 
1, 11 
1, 7 
1, 13 
1, 11 
1, 8 
1, 14 
1, 8 
1, 16 
1, 16 
1, 4 
1, 4 
1, 4 
1, 4 
1, 4 
1, 4 
3, 3 
1, 2 
1, 6 
1, 1 
4, 7 
1, 2 
1, 2 
1, 2 
16, 35 
23, 54 
1, 1 
9, 37 
1, 4 
45, 133 
1, 1 
3, 10 
3, 10 
2, 3 
1, 2 
1, 2 
3, 10 
2, 16 
12, 60 
14, 75 
1, 2 
1, 4 
17, 59 
4, 45 
4, 40 
9, 33 
24, 72 
1, 2 
1, 2 
1, 2 
1, 5 
1, 2 
8, 42 
5, 27 
7, 43 
7, 34 
7, 34 
3, 12 
3, 12 
4, 15 
1, 2 
3, 9 
1, 2 
3, 10 
5, 28 
4, 10 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
2, 5 
2, 4 
8, 87 
3, 8 
10, 56 
28, 107 
1, 2 
2, 5 
1, 3 
3, 7 
3, 8 
1, 2 
1, 2 
1, 7 
1, 2 
1, 15 
1, 12 
2, 11 
2, 5 
15, 34 
3, 7 
11, 22 
11, 28 
1, 1 
1, 2 
8, 14 
7, 19 
5, 15 
6, 13 
4, 7 
2, 3 
9, 36 
4, 12 
3, 7 
14, 32 
4, 11 
2, 4 
2, 5 
2, 9 
7, 18 
9, 22 
6, 17 
1, 2 
23, 50 
1, 1 
1, 1 
1, 1 
1, 1 
65, 99 
4, 12 
2, 5 
4, 104 
3, 16 
1, 2 
1, 2 
3, 15 
27, 81 
3, 8 
1, 1 
1, 1 
2, 6 
2, 3 
1, 3 
12, 34 
1, 3 
1, 3 
1, 2 
4, 21 
4, 23 
1, 5 
1, 19 
1, 8 
3, 5 
6, 22 
1, 2 
1, 5 
1, 5 
2, 3 
1, 30 
2, 6 
11, 39 
2, 7 
17, 63 
1, 1 
1, 2 
1, 2 
6, 22 
4, 18 
4, 16 
4, 14 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
2, 4 
2, 4 
3, 4 
9, 26 
1, 2 
1, 2 
1, 2 
1, 5 
1, 4 
1, 5 
1, 3 
3, 6 
1, 2 
1, 2 
4, 9 
10, 20 
1, 2 
1, 2 
19, 25 
3, 6 
1, 2 
2, 5 
3, 8 
3, 8 
6, 18 
1, 2 
1, 2 
3, 4 
2, 3 
1, 2 
9, 13 
2, 4 
2, 4 
2, 3 
4, 7 
2, 6 
1, 4 
2, 3 
1, 5 
1, 4 
1, 3 
8, 13 
9, 25 
32, 93 
1, 2 
1, 2 
1, 5 
1, 5 
1, 5 
1, 4 
5, 35 
2, 11 
1, 2 
2, 4 
7, 35 
1, 2 
2, 10 
2, 8 
1, 3 
2, 11 
1, 2 
1, 2 
1, 3 
6, 19 
3, 10 
2, 9 
4, 40 
1, 1 
3, 8 
5, 36 
10, 71 
1, 4 
4, 14 
4, 14 
11, 115 
1, 2 
3, 13 
8, 12 
8, 12 
2, 4 
1, 2 
1, 2 
2, 5 
3, 9 
9, 25 
3, 10 
2, 5 
4, 14 
1, 2 
1, 10 
1, 2 
1, 2 
1, 3 
19, 62 
3, 8 
2, 6 
1, 3 
2, 3 
4, 5 
9, 16 
1, 4 
1, 3 
2, 7 
1, 3 
1, 8 
1, 2 
1, 3 
1, 2 
3, 10 
3, 17 
1, 4 
1, 2 
1, 2 
1, 5 
5, 17 
1, 3 
1, 3 
1, 2 
1, 2 
1, 2 
1, 3 
1, 2 
3, 27 
1, 6 
1, 6 
1, 2 
1, 6 
1, 9 
1, 2 
1, 6 
1, 9 
7, 20 
18, 42 
1, 10 
5, 12 
4, 9 
4, 7 
4, 7 
4, 7 
1, 2 
5, 10 
5, 12 
2, 3 
4, 10 
3, 20 
3, 20 
1, 3 
1, 2 
1, 1 
1, 2 
1, 3 
2, 3 
1, 23 
1, 18 
3, 6 
2, 14 
2, 18 
2, 5 
1, 3 
1, 5 
1, 5 
1, 4 
1, 4 
11, 50 
2, 8 
8, 12 
11, 36 
9, 13 
1, 1 
1, 1 
1, 1 
1, 1 
1, 1 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
39, 102 
10, 31 
8, 18 
1, 7 
1, 5 
4, 11 
3, 11 
1, 2 
3, 4 
2, 7 
11, 18 
1, 2 
1, 2 
1, 2 
1, 2 
14, 31 
1, 2 
1, 5 
1, 5 
2, 3 
2, 3 
2, 5 
1, 2 
4, 6 
4, 6 
3, 4 
3, 4 
1, 2 
1, 4 
1, 2 
1, 2 
1, 2 
8, 19 
8, 19 
4, 7 
5, 24 
2, 12 
4, 17 
4, 19 
1, 2 
3, 9 
1, 2 
4, 10 
1, 2 
2, 4 
2, 6 
1, 2 
2, 4 
2, 4 
2, 6 
1, 14 
6, 36 
4, 29 
6, 21 
6, 21 
4, 18 
4, 18 
4, 18 
4, 18 
4, 18 
4, 18 
4, 18 
4, 18 
4, 18 
5, 17 
5, 39 
5, 20 
5, 39 
5, 18 
1, 2 
1, 5 
1, 5 
1, 5 
1, 5 
1, 4 
1, 5 
3, 17 
1, 2 
1, 2 
1, 2 
1, 2 
3, 6 
13, 29 
1, 1 
1, 2 
1, 2 
1, 2 
1, 2 
1, 2 
1, 16 
2, 6 
1, 2 
1, 2 
1, 2 
6, 24 
1, 2 
1, 2 
1, 6 
2, 5 
2, 6 
3, 7 
2, 8 
5, 15 
3, 10 
2, 6 
10, 36 
3, 9 
5, 28 
1, 2 
1, 2 
1, 2 
10, 18 
2, 6 
2, 22 
11, 22 
4, 10 
2, 13 
4, 13 
2, 6 
1, 2 
1, 2 
1, 2 
2, 20 
1, 1 
1, 1 
1, 4 
1, 5 
2, 4 
3, 12 
15, 63 
2, 13 
10, 52 
3, 10 
6, 17 
14, 52 
3, 7 
1, 9 
1, 2 
1, 2 
1, 2 
14, 55 
16, 25 
2, 27 
6, 31 
1, 2 
1, 6 
1, 2 
1, 5 
1, 5 
1, 4 
1, 3 
1, 2 
3, 10 
1, 4 
1, 4 
1, 4 
1, 4 
1, 12 
3, 22 
