2, 6
1, 3
1, 2
1, 3
1, 4
1, 5
9, 23
1, 3
13, 28
2, 11
8, 14
6, 18
1, 3
6, 23
10, 29
1, 2
1, 3
1, 3
1, 5
1, 5
1, 6
3, 15
16, 31
1, 3
1, 5
1, 3
5, 8
1, 3
1, 3
1, 7
1, 3
1, 16
1, 4
1, 3
1, 5
4, 51
1, 5
1, 4
2, 8
1, 9
1, 4
1, 5
3, 8
1, 3
2, 7
2, 7
1, 5
4, 10
1, 3
1, 3
1, 6
3, 7
8, 23
4, 8
1, 3
2, 5
2, 7
1, 3
1, 3
1, 4
1, 3
2, 9
2, 7
1, 3
1, 2
2, 5
2, 5
4, 12
1, 3
1, 3
1, 5
1, 5
1, 5
1, 3
1, 3
1, 3
2, 6
1, 3
1, 3
1, 3
1, 3
1, 3
2, 16
2, 6
2, 6
2, 4
1, 5
1, 3
1, 3
2, 6
4, 11
1, 3
1, 7
1, 14
1, 4
2, 5
1, 3
4, 30
1, 3
1, 3
1, 3
1, 3
3, 34
1, 3
2, 4
3, 13
3, 8
2, 7
1, 3
1, 3
1, 5
2, 5
2, 14
1, 4
1, 4
1, 5
2, 4
2, 4
4, 9
1, 4
2, 8
2, 4
1, 3
2, 6
1, 3
3, 7
1, 3
5, 12
1, 3
3, 10
1, 4
1, 4
2, 7
4, 20
1, 3
1, 3
1, 3
1, 3
1, 3
2, 8
1, 4
1, 3
1, 3
3, 6
1, 5
1, 3
1, 3
1, 3
2, 5
1, 6
1, 3
1, 3
1, 3
1, 3
1, 3
1, 7
2, 6
9, 74
1, 3
1, 3
1, 3
1, 5
1, 3
1, 3
4, 8
1, 3
1, 3
1, 3
3, 7
1, 3
2, 9
1, 3
1, 3
4, 11
1, 3
1, 3
1, 3
1, 3
4, 10
3, 9
1, 4
1, 3
1, 5
1, 4
1, 3
1, 6
1, 3
2, 4
1, 4
8, 21
2, 14
3, 7
2, 6
1, 2
2, 7
4, 10
1, 3
8, 26
2, 7
1, 5
1, 3
1, 3
1, 3
1, 13
1, 3
8, 26
2, 7
1, 5
1, 3
1, 3
1, 3
1, 2
1, 4
1, 5
14, 31
14, 38
1, 2
1, 2
1, 2
1, 6
1, 9
1, 3
5, 15
1, 3
1, 3
1, 4
2, 9
1, 3
2, 5
12, 31
16, 26
1, 3
1, 3
1, 5
1, 13
1, 4
1, 3
1, 4
1, 3
12, 25
1, 3
4, 14
2, 5
1, 3
1, 2
2, 8
1, 3
1, 3
1, 3
1, 3
6, 15
5, 11
1, 3
1, 3
2, 87
1, 6
4, 21
1, 2
1, 2
1, 4
2, 12
8, 30
10, 17
4, 14
1, 4
1, 7
1, 5
2, 11
2, 8
1, 3
1, 3
1, 3
1, 3
6, 15
5, 11
1, 3
1, 4
3, 5
1, 10
1, 6
1, 3
2, 11
1, 3
1, 9
1, 3
1, 3
1, 4
1, 3
1, 4
1, 5
1, 5
1, 3
1, 5
5, 8
2, 11
1, 3
1, 12
1, 3
1, 3
1, 3
4, 15
2, 4
2, 16
2, 11
1, 5
1, 3
3, 5
1, 3
1, 3
2, 7
2, 6
2, 6
7, 15
7, 15
1, 3
1, 3
1, 3
1, 3
1, 2
1, 2
1, 3
1, 3
1, 3
2, 5
3, 6
7, 15
12, 18
3, 52
2, 5
5, 24
1, 6
3, 18
1, 3
1, 3
1, 3
1, 3
1, 3
1, 3
1, 3
2, 7
3, 7
4, 10
1, 6
16, 43
5, 18
4, 11
2, 3
1, 2
1, 3
1, 3
1, 3
1, 3
3, 9
2, 7
1, 3
2, 4
2, 5
1, 39
1, 3
1, 3
3, 11
6, 10
4, 13
1, 7
1, 6
2, 81
2, 5
4, 17
2, 5
3, 17
1, 5
1, 5
2, 11
1, 5
2, 11
1, 3
1, 3
1, 3
1, 4
2, 26
1, 4
1, 8
3, 14
1, 3
1, 4
1, 3
2, 5
1, 3
1, 2
1, 3
1, 3
1, 3
1, 2
1, 3
2, 19
1, 4
4, 11
2, 8
1, 3
4, 14
2, 5
1, 3
1, 2
1, 3
1, 3
1, 4
2, 6
2, 5
1, 3
2, 6
2, 5
1, 4
1, 3
1, 3
1, 2
1, 3
1, 3
14, 52
1, 3
5, 29
8, 36
1, 3
2, 29
12, 44
1, 9
4, 18
3, 14
4, 10
4, 10
1, 3
1, 4
1, 4
1, 3
1, 3
1, 3
1, 3
1, 3
4, 12
1, 3
1, 8
1, 5
1, 7
1, 8
1, 3
2, 6
1, 4
1, 15
1, 29
1, 8
1, 9
1, 12
3, 22
1, 3
2, 7
2, 7
1, 3
1, 3
1, 5
3, 13
1, 3
1, 3
1, 3
1, 42
1, 3
1, 7
1, 4
2, 4
1, 3
1, 4
1, 4
1, 3
1, 3
2, 5
3, 9
1, 3
2, 21
2, 7
1, 6
1, 11
1, 8
1, 3
1, 14
1, 3
1, 3
1, 3
1, 4
1, 6
1, 4
3, 9
1, 7
1, 9
1, 3
1, 3
1, 16
1, 18
1, 22
1, 3
1, 6
1, 4
1, 4
2, 5
1, 3
1, 6
1, 6
1, 8
1, 15
1, 8
2, 8
3, 10
8, 36
1, 9
2, 6
1, 16
1, 3
1, 3
2, 4
1, 2
1, 3
1, 3
10, 40
16, 62
1, 7
2, 21
1, 6
1, 2
8, 20
1, 4
1, 3
2, 6
2, 4
2, 6
2, 6
2, 4
2, 6
3, 7
8, 19
6, 14
1, 5
1, 3
3, 9
1, 3
1, 3
1, 3
4, 10
1, 3
1, 3
1, 5
4, 83
1, 3
2, 6
1, 4
1, 4
2, 14
1, 7
3, 7
1, 3
1, 3
1, 3
1, 3
1, 10
1, 3
3, 13
1, 3
1, 3
1, 3
1, 4
1, 3
1, 3
1, 4
5, 11
1, 3
1, 10
1, 4
1, 3
1, 3
1, 3
2, 4
2, 5
1, 18
2, 10
1, 3
1, 3
5, 23
2, 5
4, 8
1, 4
7, 18
1, 4
1, 15
1, 6
1, 30
1, 11
4, 14
1, 6
2, 11
1, 8
5, 22
1, 8
1, 6
1, 8
2, 6
1, 6
1, 5
1, 4
2, 6
1, 9
6, 14
1, 3
1, 5
1, 3
9, 32
5, 11
2, 9
3, 14
1, 3
1, 3
2, 5
1, 2
2, 5
